date,Peak Demand (MW)
2016-10-17,36829
2016-10-18,35431
2016-10-19,32347
2016-10-20,31395
2016-10-21,28113
2016-10-22,26905
2016-10-23,27133
2016-10-24,30218
2016-10-25,30489
2016-10-26,30649
2016-10-27,30874
2016-10-28,32070
2016-10-29,30764
2016-10-30,29441
2016-10-31,31265
2016-11-01,32316
2016-11-02,32068
2016-11-03,31884
2016-11-04,29711
2016-11-05,27881
2016-11-06,26400
2016-11-07,27860
2016-11-08,28819
2016-11-09,28613
2016-11-10,28434
2016-11-11,28203
2016-11-12,27570
2016-11-13,26360
2016-11-14,27435
2016-11-15,28615
2016-11-16,28525
2016-11-17,29208
2016-11-18,29331
2016-11-19,29291
2016-11-20,28347
2016-11-21,29874
2016-11-22,29361
2016-11-23,29053
2016-11-24,28584
2016-11-25,25907
2016-11-26,26727
2016-11-27,26942
2016-11-28,28316
2016-11-29,29577
2016-11-30,30934
2016-12-01,32331
2016-12-02,31641
2016-12-03,29974
2016-12-04,30054
2016-12-05,31746
2016-12-06,32139
2016-12-07,33293
2016-12-08,36568
2016-12-09,37529
2016-12-10,35244
2016-12-11,32322
2016-12-12,34010
2016-12-13,33840
2016-12-14,35204
2016-12-15,36539
2016-12-16,36534
2016-12-17,35224
2016-12-18,37610
2016-12-19,40114
2016-12-20,37200
2016-12-21,33542
2016-12-22,33025
2016-12-23,32266
2016-12-24,30133
2016-12-25,27490
2016-12-26,26685
2016-12-27,30320
2016-12-28,29912
2016-12-29,30273
2016-12-30,31778
2016-12-31,29921
2017-01-01,28437
2017-01-02,28240
2017-01-03,32432
2017-01-04,36482
2017-01-05,36816
2017-01-06,39319
2017-01-07,38640
2017-01-08,35505
2017-01-09,35891
2017-01-10,32833
2017-01-11,30894
2017-01-12,32697
2017-01-13,34225
2017-01-14,33753
2017-01-15,32204
2017-01-16,30704
2017-01-17,31674
2017-01-18,31525
2017-01-19,30354
2017-01-20,29766
2017-01-21,28326
2017-01-22,27236
2017-01-23,32031
2017-01-24,31725
2017-01-25,31270
2017-01-26,34642
2017-01-27,35450
2017-01-28,31720
2017-01-29,29358
2017-01-30,32572
2017-01-31,31241
2017-02-01,30779
2017-02-02,33511
2017-02-03,34474
2017-02-04,32094
2017-02-05,29665
2017-02-06,29708
2017-02-07,29296
2017-02-08,31678
2017-02-09,34690
2017-02-10,31786
2017-02-11,27173
2017-02-12,26992
2017-02-13,30127
2017-02-14,30443
2017-02-15,31798
2017-02-16,31487
2017-02-17,29252
2017-02-18,26875
2017-02-19,25601
2017-02-20,27321
2017-02-21,27759
2017-02-22,27580
2017-02-23,28233
2017-02-24,29407
2017-02-25,29916
2017-02-26,28316
2017-02-27,30378
2017-02-28,28827
2017-03-01,28966
2017-03-02,31568
2017-03-03,31388
2017-03-04,27655
2017-03-05,26156
2017-03-06,27447
2017-03-07,28475
2017-03-08,29875
2017-03-09,27847
2017-03-10,29257
2017-03-11,28907
2017-03-12,29256
2017-03-13,31841
2017-03-14,32891
2017-03-15,32943
2017-03-16,30614
2017-03-17,28051
2017-03-18,27072
2017-03-19,28059
2017-03-20,31639
2017-03-21,31420
2017-03-22,29196
2017-03-23,28831
2017-03-24,28788
2017-03-25,26927
2017-03-26,25940
2017-03-27,27743
2017-03-28,27948
2017-03-29,28339
2017-03-30,28399
2017-03-31,27912
2017-04-01,26909
2017-04-02,26350
2017-04-03,27417
2017-04-04,27988
2017-04-05,28413
2017-04-06,28617
2017-04-07,28155
2017-04-08,26648
2017-04-09,27876
2017-04-10,28358
2017-04-11,28111
2017-04-12,28359
2017-04-13,29242
2017-04-14,29069
2017-04-15,28806
2017-04-16,28607
2017-04-17,28640
2017-04-18,30925
2017-04-19,32029
2017-04-20,31567
2017-04-21,28507
2017-04-22,27134
2017-04-23,24992
2017-04-24,28244
2017-04-25,29733
2017-04-26,29497
2017-04-27,27494
2017-04-28,28350
2017-04-29,27802
2017-04-30,26443
2017-05-01,27595
2017-05-02,28197
2017-05-03,27958
2017-05-04,26808
2017-05-05,27554
2017-05-06,28629
2017-05-07,30769
2017-05-08,34451
2017-05-09,33981
2017-05-10,33334
2017-05-11,30145
2017-05-12,28729
2017-05-13,29620
2017-05-14,32182
2017-05-15,37885
2017-05-16,36926
2017-05-17,34163
2017-05-18,34658
2017-05-19,33027
2017-05-20,29215
2017-05-21,26891
2017-05-22,28698
2017-05-23,27959
2017-05-24,27913
2017-05-25,32187
2017-05-26,36489
2017-05-27,35705
2017-05-28,32832
2017-05-29,32612
2017-05-30,35080
2017-05-31,36101
2017-06-01,35801
2017-06-02,36419
2017-06-03,34664
2017-06-04,33533
2017-06-05,40100
2017-06-06,39299
2017-06-07,38068
2017-06-08,38196
2017-06-09,39335
2017-06-10,39859
2017-06-11,40930
2017-06-12,43698
2017-06-13,44391
2017-06-14,43988
2017-06-15,45981
2017-06-16,45625
2017-06-17,44160
2017-06-18,40299
2017-06-19,40220
2017-06-20,44742
2017-06-21,45084
2017-06-22,44117
2017-06-23,43341
2017-06-24,37835
2017-06-25,34106
2017-06-26,37415
2017-06-27,40541
2017-06-28,43928
2017-06-29,43144
2017-06-30,41526
2017-07-01,38286
