date,Peak Demand (MW)
2017-09-10,50211
2017-09-11,51848
2017-09-12,52601
2017-09-13,56430
2017-09-14,61306
2017-09-15,60515
2017-09-16,60202
2017-09-17,60448
2017-09-18,61033
2017-09-19,63254
2017-09-20,63679
2017-09-21,61792
2017-09-22,61137
2017-09-23,58517
2017-09-24,57221
2017-09-25,58178
2017-09-26,55069
2017-09-27,54788
2017-09-28,51270
2017-09-29,47106
2017-09-30,49210
2017-10-01,52604
2017-10-02,56618
2017-10-03,54251
2017-10-04,56014
2017-10-05,56219
2017-10-06,56012
2017-10-07,52439
2017-10-08,55238
2017-10-09,62253
2017-10-10,58670
2017-10-11,42812
2017-10-12,53216
2017-10-13,58443
2017-10-14,56537
2017-10-15,53152
2017-10-16,42348
2017-10-17,40493
2017-10-18,43616
2017-10-19,45894
2017-10-20,46198
2017-10-21,49829
2017-10-22,47959
2017-10-23,42548
2017-10-24,41677
2017-10-25,38457
2017-10-26,41913
2017-10-27,41377
2017-10-28,37462
2017-10-29,36176
2017-10-30,37641
2017-10-31,38668
2017-11-01,41536
2017-11-02,49346
2017-11-03,47727
2017-11-04,47343
2017-11-05,50759
2017-11-06,48964
2017-11-07,47073
2017-11-08,44186
2017-11-09,41611
2017-11-10,39213
2017-11-11,37389
2017-11-12,37096
2017-11-13,39861
2017-11-14,41415
2017-11-15,42114
2017-11-16,42899
2017-11-17,46435
2017-11-18,45053
2017-11-19,38114
2017-11-20,38817
2017-11-21,38717
2017-11-22,39514
2017-11-23,38440
2017-11-24,34421
2017-11-25,35181
2017-11-26,36498
2017-11-27,38642
2017-11-28,40310
2017-11-29,41052
2017-11-30,39934
2017-12-01,39467
2017-12-02,38311
2017-12-03,38276
2017-12-04,42630
2017-12-05,44285
2017-12-06,42674
2017-12-07,47946
2017-12-08,54420
2017-12-09,47990
2017-12-10,42796
2017-12-11,45583
2017-12-12,42081
2017-12-13,47679
2017-12-14,43198
2017-12-15,44508
2017-12-16,42762
2017-12-17,42992
2017-12-18,40623
2017-12-19,41895
2017-12-20,41263
2017-12-21,40211
2017-12-22,43153
2017-12-23,45529
2017-12-24,40448
2017-12-25,43554
2017-12-26,42873
2017-12-27,49416
2017-12-28,51901
2017-12-29,48083
2017-12-30,44357
2017-12-31,50637
2018-01-01,56087
2018-01-02,59160
2018-01-03,62879
2018-01-04,57185
2018-01-05,49047
2018-01-06,43490
2018-01-07,37866
2018-01-08,41082
2018-01-09,45822
2018-01-10,42323
2018-01-11,41581
2018-01-12,56206
2018-01-13,51585
2018-01-14,48819
2018-01-15,46580
2018-01-16,61153
2018-01-17,65724
2018-01-18,61272
2018-01-19,53487
2018-01-20,43820
2018-01-21,35962
2018-01-22,39627
2018-01-23,48248
2018-01-24,49570
2018-01-25,49485
2018-01-26,41375
2018-01-27,37633
2018-01-28,35904
2018-01-29,44477
2018-01-30,48716
2018-01-31,44287
2018-02-01,38134
2018-02-02,43206
2018-02-03,40679
2018-02-04,37742
2018-02-05,45299
2018-02-06,43086
2018-02-07,48908
2018-02-08,52541
2018-02-09,41777
2018-02-10,40977
2018-02-11,50092
2018-02-12,55315
2018-02-13,48378
2018-02-14,45767
2018-02-15,38556
2018-02-16,39793
2018-02-17,39529
2018-02-18,37176
2018-02-19,39824
2018-02-20,41299
2018-02-21,47312
2018-02-22,48724
2018-02-23,46651
2018-02-24,41185
2018-02-25,38043
2018-02-26,39378
2018-02-27,39294
2018-02-28,41004
2018-03-01,41699
2018-03-02,39353
2018-03-03,37210
2018-03-04,36954
2018-03-05,40628
2018-03-06,40829
2018-03-07,40023
2018-03-08,40254
2018-03-09,38038
2018-03-10,41647
2018-03-11,41248
2018-03-12,38202
2018-03-13,38148
2018-03-14,39246
2018-03-15,36945
2018-03-16,43187
2018-03-17,42223
2018-03-18,42425
2018-03-19,42182
2018-03-20,40930
2018-03-21,38332
2018-03-22,39483
2018-03-23,40747
2018-03-24,42833
2018-03-25,42140
2018-03-26,46968
2018-03-27,45744
2018-03-28,41286
2018-03-29,41367
2018-03-30,40579
2018-03-31,39802
2018-04-01,39173
2018-04-02,44342
2018-04-03,44039
2018-04-04,42801
2018-04-05,38681
2018-04-06,45093
2018-04-07,43606
2018-04-08,39401
2018-04-09,37482
2018-04-10,38214
2018-04-11,41133
2018-04-12,46261
2018-04-13,46982
2018-04-14,45364
2018-04-15,34981
2018-04-16,40775
2018-04-17,45653
2018-04-18,44939
2018-04-19,42671
2018-04-20,39374
2018-04-21,36554
2018-04-22,36830
2018-04-23,42204
2018-04-24,48129
2018-04-25,47261
2018-04-26,40909
2018-04-27,42764
2018-04-28,43981
2018-04-29,43968
2018-04-30,43917
2018-05-01,45118
2018-05-02,51993
2018-05-03,50437
2018-05-04,48884
2018-05-05,45265
2018-05-06,49980
2018-05-07,56540
2018-05-08,55394
2018-05-09,54592
2018-05-10,54252
2018-05-11,55675
2018-05-12,55183
2018-05-13,55493
2018-05-14,59088
2018-05-15,59232
2018-05-16,61515
2018-05-17,63681
2018-05-18,63156
2018-05-19,60240
2018-05-20,55302
2018-05-21,53754
2018-05-22,57190
2018-05-23,57529
2018-05-24,59969
2018-05-25,59194
2018-05-26,62427
2018-05-27,61594
2018-05-28,63491
2018-05-29,67283
2018-05-30,67169
2018-05-31,66994
2018-06-01,67889
2018-06-02,66964
2018-06-03,65616
2018-06-04,62215
2018-06-05,67319
2018-06-06,67885
2018-06-07,66100
2018-06-08,65156
2018-06-09,62627
2018-06-10,63015
2018-06-11,66597
2018-06-12,67102
2018-06-13,67664
2018-06-14,66073
2018-06-15,65633
2018-06-16,63287
2018-06-17,60664
2018-06-18,58985
2018-06-19,57163
2018-06-20,55479
2018-06-21,62818
2018-06-22,67808
2018-06-23,66693
2018-06-24,64592
2018-06-25,64462
2018-06-26,67658
2018-06-27,69039
2018-06-28,68582
2018-06-29,68441
2018-06-30,72716
2018-07-01,73263
2018-07-02,69309
2018-07-03,69648
2018-07-04,68601
2018-07-05,63360
2018-07-06,62743
2018-07-07,58545
2018-07-08,55480
2018-07-09,54624
2018-07-10,61766
2018-07-11,66467
2018-07-12,65699
2018-07-13,65839
2018-07-14,65511
2018-07-15,65850
2018-07-16,70592
2018-07-17,70975
2018-07-18,72203
2018-07-19,73264
2018-07-20,72933
2018-07-21,71155
2018-07-22,71443
2018-07-23,73052
2018-07-24,71216
2018-07-25,70547
2018-07-26,70693
2018-07-27,68576
2018-07-28,67666
2018-07-29,68866
2018-07-30,68340
2018-07-31,64931
2018-08-01,65575
2018-08-02,66128
2018-08-03,66901
2018-08-04,64456
2018-08-05,63159
2018-08-06,66876
2018-08-07,67223
2018-08-08,65413
2018-08-09,66424
2018-08-10,62640
2018-08-11,56377
2018-08-12,52551
2018-08-13,60136
2018-08-14,62936
2018-08-15,67599
2018-08-16,69102
2018-08-17,69456
2018-08-18,68401
2018-08-19,65502
2018-08-20,67818
2018-08-21,69214
2018-08-22,69382
2018-08-23,69850
2018-08-24,69632
2018-08-25,67520
2018-08-26,66008
2018-08-27,69104
2018-08-28,68434
2018-08-29,66457
2018-08-30,67953
2018-08-31,68369
2018-09-01,65323
2018-09-02,61469
2018-09-03,56381
2018-09-04,59188
2018-09-05,59472
2018-09-06,58725
2018-09-07,60352
2018-09-08,55863
2018-09-09,49961
2018-09-10,45730
2018-09-11,48184
2018-09-12,55382
2018-09-13,55943
2018-09-14,54432
2018-09-15,55215
2018-09-16,57898
2018-09-17,63334
2018-09-18,64641
2018-09-19,64657
2018-09-20,62287
2018-09-21,55986
2018-09-22,51522
2018-09-23,45225
2018-09-24,54569
2018-09-25,60079
2018-09-26,57710
2018-09-27,46954
2018-09-28,48674
2018-09-29,47011
2018-09-30,49703
2018-10-01,54621
2018-10-02,56589
2018-10-03,60242
2018-10-04,60678
2018-10-05,60344
2018-10-06,57021
2018-10-07,54401
2018-10-08,53180
2018-10-09,49344
2018-10-10,48482
2018-10-11,46157
2018-10-12,46509
2018-10-13,46417
2018-10-14,51261
2018-10-15,49054
2018-10-16,41863
2018-10-17,40912
2018-10-18,39735
2018-10-19,38740
2018-10-20,38556
2018-10-21,35878
2018-10-22,36533
2018-10-23,37600
2018-10-24,37738
2018-10-25,38676
2018-10-26,37946
2018-10-27,40067
2018-10-28,42844
2018-10-29,46615
2018-10-30,46278
2018-10-31,45436
