date,Peak Demand (MW)
2017-01-17,30108
2017-01-18,30425
2017-01-19,30999
2017-01-20,30102
2017-01-21,30378
2017-01-22,27641
2017-01-23,28983
2017-01-24,31290
2017-01-25,30936
2017-01-26,30877
2017-01-27,30677
2017-01-28,29706
2017-01-29,27311
2017-01-30,27771
2017-01-31,30002
2017-02-01,29877
2017-02-02,30074
2017-02-03,29895
2017-02-04,29164
2017-02-05,26960
2017-02-06,27570
2017-02-07,30347
2017-02-08,30001
2017-02-09,30144
2017-02-10,30058
2017-02-11,28932
2017-02-12,27143
2017-02-13,27067
2017-02-14,29297
2017-02-15,28614
2017-02-16,28899
2017-02-17,28409
2017-02-18,28593
2017-02-19,25885
2017-02-20,25828
2017-02-21,28185
2017-02-22,28580
2017-02-23,28756
2017-02-24,29008
2017-02-25,27860
2017-02-26,26309
2017-02-27,26539
2017-02-28,29304
2017-03-01,28310
2017-03-02,28181
2017-03-03,27925
2017-03-04,27230
2017-03-05,25487
2017-03-06,26525
2017-03-07,28582
2017-03-08,28037
2017-03-09,28090
2017-03-10,28655
2017-03-11,27840
2017-03-12,26129
2017-03-13,26292
2017-03-14,29082
2017-03-15,29535
2017-03-16,28761
2017-03-17,28628
2017-03-18,27898
2017-03-19,25813
2017-03-20,25753
2017-03-21,28038
2017-03-22,27538
2017-03-23,27187
2017-03-24,27094
2017-03-25,26623
2017-03-26,24664
2017-03-27,25134
2017-03-28,26992
2017-03-29,27075
2017-03-30,27383
2017-03-31,26574
2017-04-01,26208
2017-04-02,25187
2017-04-03,25982
2017-04-04,27198
2017-04-05,27968
2017-04-06,28613
2017-04-07,27809
2017-04-08,26746
2017-04-09,25029
2017-04-10,25044
2017-04-11,27477
2017-04-12,27542
2017-04-13,27809
2017-04-14,27159
2017-04-15,26238
2017-04-16,25456
2017-04-17,26044
2017-04-18,28533
2017-04-19,27982
2017-04-20,28118
2017-04-21,28115
2017-04-22,29112
2017-04-23,27686
2017-04-24,26518
2017-04-25,27891
2017-04-26,27879
2017-04-27,28088
2017-04-28,28462
2017-04-29,27944
2017-04-30,27385
2017-05-01,29347
2017-05-02,31832
2017-05-03,34219
2017-05-04,35707
2017-05-05,34001
2017-05-06,28661
2017-05-07,25311
2017-05-08,25817
2017-05-09,28765
2017-05-10,29456
2017-05-11,28779
2017-05-12,29091
